"REST_ID","REST_NAME","CUISINE"
17696957,"Tony's La Pizzeria","Pizza"
17696957,"Tony's La Pizzeria","Sandwich"
17621759,"Famous Dave's","BBQ"
17335173,"Olive Tree Cafe","Indian"
17335173,"Olive Tree Cafe","Mediterranean"
17335173,"Olive Tree Cafe","Middle Eastern"
17678097,"Mom & Dad's Italian Restaurant","Italian"
17093600,"Taco Bus","Mexican"
17093600,"Taco Bus","Vegetarian"
17334213,"Dub's High on the Hog","BBQ"
17141990,"Duke's Waikiki","Hawaiian"
17141990,"Duke's Waikiki","Seafood"
17141990,"Duke's Waikiki","Steak"
17501308,"Martin's BBQ","BBQ"
17342625,"Pepper Sprout Incorporated","American"
17621788,"Jerry's Pizza","Pizza"
17333836,"Filling Station","American"
17333836,"Filling Station","Burger"
17330024,"B Merrell's","Burger"
17330024,"B Merrell's","Bar Food"
17330024,"B Merrell's","Southern"
17615924,"Leopold's Ice Cream","Desserts"
17615924,"Leopold's Ice Cream","Sandwich"
17615924,"Leopold's Ice Cream","Ice Cream"
17294556,"Miyabi Kyoto Japanese Steak House","Chinese"
17294556,"Miyabi Kyoto Japanese Steak House","Steak"
17334211,"Kobe Hibachi & Sushi","American"
17334211,"Kobe Hibachi & Sushi","Japanese"
17334211,"Kobe Hibachi & Sushi","Sushi"
17697389,"The Screaming Eagle","American"
17697389,"The Screaming Eagle","Bar Food"
17294712,"Takosushi","Mexican"
17294712,"Takosushi","Southwestern"
17294712,"Takosushi","Sushi"
17616295,"The Crab Shack","Seafood"
17330628,"Wood Stone","Italian"
17330628,"Wood Stone","Mediterranean"
17330628,"Wood Stone","Pizza"
17696941,"SOHO Sushi Bar & Deli","Sandwich"
17696941,"SOHO Sushi Bar & Deli","Sushi"
17696941,"SOHO Sushi Bar & Deli","Tapas"
17258350,"Flying Mango","BBQ"
17258350,"Flying Mango","Caribbean"
17258350,"Flying Mango","Cajun"
17099925,"Red Mesa Cantina","Latin American"
17099925,"Red Mesa Cantina","Mexican"
17099925,"Red Mesa Cantina","Southwestern"
17330755,"Uptown Vietnam cuisine","Asian"
17330755,"Uptown Vietnam cuisine","Vietnamese"
17500767,"Jim Shaw's Seafood Grill & Bar","Seafood"
17330087,"Chef Lee's Peking Restaurant","Chinese"
17100307,"Ella's Americana Folk Art Cafe","International"
17100307,"Ella's Americana Folk Art Cafe","Italian"
17100307,"Ella's Americana Folk Art Cafe","Southern"
17284179,"Longhorn Steakhouse","American"
17284179,"Longhorn Steakhouse","Steak"
17334197,"Five Guys Burgers and Fries","Fast Food"
17678326,"La Jalisco Supermercato","Mexican"
17582467,"Rupes Burgers","Burger"
17582467,"Rupes Burgers","Fast Food"
17582668,"Texas Roadhouse","American"
17582668,"Texas Roadhouse","BBQ"
17582668,"Texas Roadhouse","Steak"
17580160,"New Yorker Deli & Pizzeria","Italian"
17580160,"New Yorker Deli & Pizzeria","Pizza"
17580160,"New Yorker Deli & Pizzeria","Sandwich"
17335195,"Red Ginger Sushi, Grill & Bar","Sushi"
17335195,"Red Ginger Sushi, Grill & Bar","Teriyaki"
17284175,"Locos Grill & Pub","American"
17284175,"Locos Grill & Pub","Burger"
17284175,"Locos Grill & Pub","Sandwich"
17342498,"Catfish Charlie's","Seafood"
17259248,"Jethro's BBQ","American"
17259248,"Jethro's BBQ","BBQ"
17295069,"The Taj of India","Indian"
17342585,"Los Aztecas","Mexican"
17621763,"Fuji Bay Japanese Restaurant","Japanese"
17621763,"Fuji Bay Japanese Restaurant","Sushi"
17616590,"Henry's","American"
17616590,"Henry's","Breakfast"
17500695,"Downtown Grill","Steak"
17342652,"Shot Tower Inn","Italian"
17342652,"Shot Tower Inn","Pizza"
17060869,"Texas de Brazil","Brazilian"
17060869,"Texas de Brazil","Steak"
17616203,"Goose Feathers Cafe and Bakery","Breakfast"
17616203,"Goose Feathers Cafe and Bakery","Vegetarian"
17621793,"Jim's Burgers","Burger"
17330676,"Wasabi Sushi and Thai","Japanese"
17330676,"Wasabi Sushi and Thai","Sushi"
17330676,"Wasabi Sushi and Thai","Thai"
17616076,"SOHO South Cafe","Cafe"
17616076,"SOHO South Cafe","Sandwich"
17616076,"SOHO South Cafe","Southern"
17295109,"Frog Hollow Tavern","American"
17342799,"Vinny Vanucchi's","Italian"
17102579,"Edison: Food+Drink Lab","International"
17334355,"Sierra's Mexican Restaurant","Mexican"
17334355,"Sierra's Mexican Restaurant","Tex-Mex"
17678229,"Masato Japanese","Japanese"
17678229,"Masato Japanese","Sushi"
17303655,"Bar Gernika Basque Pub & Eatery","European"
17303655,"Bar Gernika Basque Pub & Eatery","Spanish"
17678231,"Beijing Cafe","Asian"
